Waiting for operation to complete...
Transcript: scena siódma Tartuffe elmira orgon Tartuffe niewidzącego na wszystko jak najszczęśliwszy chęcią naszym sprzyja nie przeszkodzi nam tutaj obecność niczyja całe mieszkanie puste inmoment radosny kiedy Tartuffe zbliża się z otwartymi ramionami do Elwiry chcąc ją uściskać to usuwa się na bok i odsłania orgona orgon wstrzymując Tartuffe powoli coś tak nagle W tej chatce miłosnej spiesząc zbytnio w osobie Możesz łatwo zbłądzić a ty mój sługo Boży chciałeś mnie urządzić tak mało na pokusy jesteś uzbrojony i Żenisz się z córką a Pożądasz żony długo wątpił o prawdzie ohydy takowej czekałem rychło zmieni się tą tej rozmowy lecznictwa nazbyt
Confidence: 0.8749011158943176
Word: scena, start_time: 0.0, end_time: 1.0
Word: hałasu, start_time: 81.2, end_time: 81.4
Word: Zgierz, start_time: 81.4, end_time: 82.1
Word: manatki, start_time: 82.1, end_time: 82.6
Word: i, start_time: 82.6, end_time: 82.8
Word: z, start_time: 82.8, end_time: 83.2
Word: domu, start_time: 83.2, end_time: 83.7
Word: mi, start_time: 83.7, end_time: 83.9
Word: zmykaj, start_time: 83.9, end_time: 84.4
Word: zawczasu, start_time: 84.4, end_time: 85.0
Word: Tartuffe, start_time: 85.0, end_time: 86.1
Word: mój, start_time: 86.1, end_time: 87.0
Word: zamiar, start_time: 87.0, end_time: 87.4
Word: orgon, start_time: 87.4, end_time: 88.8
Word: to, start_time: 88.8, end_time: 89.5
Word: jest, start_time: 89.5, end_time: 89.6
Word: wszystko, start_time: 89.6, end_time: 90.2
Word: daremne, start_time: 90.2, end_time: 90.6
Word: gadanie, start_time: 90.6, end_time: 91.0
Word: masz, start_time: 91.0, end_time: 91.7
Word: mi, start_time: 91.7, end_time: 92.0
Word: to, start_time: 92.0, end_time: 92.2
Word: najśmieszniej, start_time: 92.2, end_time: 93.3
Word: opuścić, start_time: 93.3, end_time: 94.2
Word: mieszkanie, start_time: 94.2, end_time: 94.8
Word: Tartuffe, start_time: 94.8, end_time: 95.7
Word: nie, start_time: 95.7, end_time: 96.5
Word: opuścisz, start_time: 96.5, end_time: 97.3
Word: raczej, start_time: 97.3, end_time: 97.9
Word: ty, start_time: 97.9, end_time: 98.5
Word: co, start_time: 98.5, end_time: 98.9
Word: z, start_time: 98.9, end_time: 99.0
Word: niesłychanym, start_time: 99.0, end_time: 99.7
Word: zuchwalstwo, start_time: 99.7, end_time: 100.8
Word: gadasz, start_time: 100.8, end_time: 101.4
Word: do, start_time: 101.4, end_time: 101.6
Word: mnie, start_time: 101.6, end_time: 101.7
Word: jakbyś, start_time: 101.7, end_time: 102.4
Word: to, start_time: 102.4, end_time: 102.7
Word: był, start_time: 102.7, end_time: 102.9
Word: panem, start_time: 102.9, end_time: 103.3
Word: dom, start_time: 103.3, end_time: 104.2
Word: jest, start_time: 104.2, end_time: 104.7
Word: moją, start_time: 104.7, end_time: 104.9
Word: własnością, start_time: 104.9, end_time: 105.2
Word: i, start_time: 105.2, end_time: 105.9
Word: szukasz, start_time: 105.9, end_time: 106.7
Word: daremnie, start_time: 106.7, end_time: 107.1
Word: tych, start_time: 107.1, end_time: 107.8
Word: nikczemnych, start_time: 107.8, end_time: 108.5
Word: wybiegów, start_time: 108.5, end_time: 109.1
Word: aby, start_time: 109.1, end_time: 109.6
Word: zadrwić, start_time: 109.6, end_time: 110.1
Word: ze, start_time: 110.1, end_time: 110.2
Word: mnie, start_time: 110.2, end_time: 110.4
Word: oszczerstwa, start_time: 110.4, end_time: 111.9
Word: broni, start_time: 111.9, end_time: 112.3
Word: nie, start_time: 112.3, end_time: 112.4
Word: przyda, start_time: 112.4, end_time: 113.0
Word: ci, start_time: 113.0, end_time: 113.0
Word: się, start_time: 113.0, end_time: 113.3
Word: ze, start_time: 113.3, end_time: 113.6
Word: mną, start_time: 113.6, end_time: 113.6
Word: w, start_time: 113.6, end_time: 113.9
Word: walce, start_time: 113.9, end_time: 114.5
Word: bo, start_time: 114.5, end_time: 115.2
Word: mam, start_time: 115.2, end_time: 115.3
Word: Sposoby, start_time: 115.3, end_time: 115.9
Word: aby, start_time: 115.9, end_time: 116.4
Word: poskromić, start_time: 116.4, end_time: 117.0
Word: zuchwalca, start_time: 117.0, end_time: 117.6
Word: pomścić, start_time: 117.6, end_time: 118.6
Word: zniewagę, start_time: 118.6, end_time: 119.2
Word: niebios, start_time: 119.2, end_time: 119.6
Transcript: dowieźć czy komu wolno jest mnie obrażać W moim własnym domu
Confidence: 0.9389974474906921
Word: dowieźć, start_time: 119.9, end_time: 120.6
Word: czy, start_time: 120.6, end_time: 121.1
Word: komu, start_time: 121.1, end_time: 121.4
Word: wolno, start_time: 121.4, end_time: 121.9
Word: jest, start_time: 121.9, end_time: 122.3
Word: mnie, start_time: 122.3, end_time: 122.7
Word: obrażać, start_time: 122.7, end_time: 123.3
Word: W, start_time: 123.3, end_time: 123.5
Word: moim, start_time: 123.5, end_time: 124.3
Word: własnym, start_time: 124.3, end_time: 124.5
Word: domu, start_time: 124.5, end_time: 125.5
